STATE,DISTRICT,month,value
ANDAMAN And NICOBAR ISLANDS,NICOBAR,1,107.3
ANDAMAN And NICOBAR ISLANDS,SOUTH ANDAMAN,1,43.7
ANDAMAN And NICOBAR ISLANDS,N & M ANDAMAN,1,32.7
ARUNACHAL PRADESH,LOHIT,1,42.2
ARUNACHAL PRADESH,EAST SIANG,1,33.3
ARUNACHAL PRADESH,SUBANSIRI F.D,1,28
ARUNACHAL PRADESH,TIRAP,1,42.2
ARUNACHAL PRADESH,ANJAW (LOHIT),1,42.2
ARUNACHAL PRADESH,LOWER DIBANG,1,83.7
ARUNACHAL PRADESH,CHANGLANG,1,70.3
ARUNACHAL PRADESH,PAPUM PARE,1,33.5
ARUNACHAL PRADESH,LOW SUBANSIRI,1,97.5
ARUNACHAL PRADESH,UPPER SIANG,1,74.3
ARUNACHAL PRADESH,WEST SIANG,1,26
ARUNACHAL PRADESH,DIBANG VALLEY,1,83.7
ARUNACHAL PRADESH,WEST KAMENG,1,35.2
ARUNACHAL PRADESH,EAST KAMENG,1,49
ARUNACHAL PRADESH,TAWANG(W KAME,1,35.2
ARUNACHAL PRADESH,KURUNG KUMEY,1,82.7
ASSAM,CACHAR,1,13.3
ASSAM,DARRANG,1,13.1
ASSAM,GOALPARA,1,12.7
ASSAM,KAMRUP,1,12
ASSAM,LAKHIMPUR,1,27.7
ASSAM,NORTH CACHAR,1,16.7
ASSAM,NAGAON,1,12
ASSAM,SIVASAGAR,1,20.1
ASSAM,BARPETA,1,10.3
ASSAM,DHUBRI,1,10.3
ASSAM,DIBRUGARH,1,30.6
ASSAM,JORHAT,1,22.2
ASSAM,KARIMGANJ,1,13.2
ASSAM,KOKRAJHAR,1,10.9
ASSAM,SHONITPUR,1,19.4
ASSAM,GOLAGHAT,1,16.9
ASSAM,TINSUKIA,1,26.6
ASSAM,HAILAKANDI,1,7.3
ASSAM,DHEMAJI(LAKHI,1,27.7
ASSAM,KARBI ANGLONG,1,12.8
ASSAM,UDALGURI(DARA,1,13.1
ASSAM,KAMRUP METROP,1,12
ASSAM,CHIRANG(BONGAI,1,10
ASSAM,BAKSA BARPETA,1,10.3
ASSAM,BONGAIGAON,1,10
ASSAM,MORIGAON,1,18.7
ASSAM,NALBARI,1,14.9
MEGHALAYA,EAST KHASI HI,1,15.4
MEGHALAYA,JAINTIA HILLS,1,33.8
MEGHALAYA,EAST GARO HIL,1,5.6
MEGHALAYA,RI-BHOI,1,16.2
MEGHALAYA,SOUTH GARO HI,1,6.8
MEGHALAYA,W KHASI HILL,1,19.7
MEGHALAYA,WEST GARO HIL,1,6.8
MANIPUR,IMPHAL EAST,1,13.5
MANIPUR,SENAPATI,1,13.3
MANIPUR,TAMENGLONG,1,48.5
MANIPUR,CHANDEL,1,8.5
MANIPUR,UKHRUL,1,14.5
MANIPUR,THOUBAL,1,15.3
MANIPUR,BISHNUPUR,1,54.5
MANIPUR,IMPHAL WEST,1,22.3
MANIPUR,CHURACHANDPUR,1,13
MIZORAM,AIZAWL,1,13.8
MIZORAM,CHAMPHAI,1,13.4
MIZORAM,KOLASIB,1,13.4
MIZORAM,LUNGLEI,1,5.5
MIZORAM,CHHIMTUIPUI,1,13.8
MIZORAM,LAWNGTLAI,1,8.3
MIZORAM,MAMIT,1,13.8
MIZORAM,SAIHA,1,6.7
MIZORAM,SERCHHIP,1,15.4
NAGALAND,KOHIMA,1,12.3
NAGALAND,TUENSANG,1,23.7
NAGALAND,MOKOKCHUNG,1,23.4
NAGALAND,DIMAPUR,1,14.7
